"state","month_date","median_listing_price","new_listing_count","active_listing_count","pending_listing_count"
"ca",2016 Sep,485721.293103448,41506,83101,37166
"co",2016 Sep,350067.953125,10796.0363636364,24456.1909090909,6289
"ct",2016 Sep,329196.875,5384,22877,4455
"dc",2016 Sep,549950,1134,1340,410
"de",2016 Sep,268191.666666667,2160,6943,1165
"fl",2016 Sep,249588.179104478,40332,133971,53205
"ga",2016 Sep,173480.283018868,16316,57200,15100
"hi",2016 Sep,673550,1566,6030,1736
"ia",2016 Sep,133249.181818182,4040,13895,4112
"id",2016 Sep,221526.227272727,3382,11883,844
"il",2016 Sep,126851.663366337,17226,60633,24443
"in",2016 Sep,132612.782608696,9112,27782,6646
"ks",2016 Sep,113748.408163265,3719.33333333333,10692.3958333333,2168
"ky",2016 Sep,147290.816666667,5112,17218,7402
"la",2016 Sep,179622.578125,4666,16935,2570
"ma",2016 Sep,654342.857142857,9962,21306,2940
"md",2016 Sep,292400.5,9410,26715,5121
"me",2016 Sep,219233.9375,2374,13273,1218
"mi",2016 Sep,163142.409638554,12748,47656,2875
"mn",2016 Sep,176865.287356322,9062,24815,11763
"mo",2016 Sep,125547.391304348,8898,29662,8262
"ms",2016 Sep,141128.926829268,2822,12938,1975
"mt",2016 Sep,253284.615384615,1520,8133.5,1880.5
"nc",2016 Sep,217390.44,15780,65597,15280
"nd",2016 Sep,146943.977777778,926.888888888889,3577.22222222222,956
"ne",2016 Sep,144669.027210884,2184.57142857143,5198,4093
"nh",2016 Sep,257363.7,2490,9174,2945
"nj",2016 Sep,308322,14680,52809,5005
"nm",2016 Sep,192998.84375,2644,11939,1282
"nv",2016 Sep,246985.8125,5142,12972,8175
"ny",2016 Sep,248528.983870968,17944,72445,14841
"oh",2016 Sep,140838.363636364,14210,44553,15398
"ok",2016 Sep,128482.026315789,5360,18734,3424
"or",2016 Sep,301411.111111111,6884,17664,1808
"pa",2016 Sep,159705.701492537,18180,60502,15140
"ri",2016 Sep,382020,1474,4412,1030
"sc",2016 Sep,197535.760869565,8012,32358,8215
"sd",2016 Sep,172024.833333333,986,3826,1254
"tn",2016 Sep,182974.178947368,10254,37270,6497
"tx",2016 Sep,189440.716576332,31018.4444444444,95330,38337.25
"ut",2016 Sep,289701.896551724,5102,12799,7506
"va",2016 Sep,244928.171875,12348,43712,6158
"vt",2016 Sep,242796.428571429,1104,7712,896
"wa",2016 Sep,297534.769230769,10798,21303,2526
"wi",2016 Sep,179276.041666667,7292,36498,4166
"wv",2016 Sep,146297.145454545,1784,9622,1335
"wy",2016 Sep,280927.173913043,940,4583,743
"ak",2016 Oct,253445.90333265,754.685714285714,3303.08571428571,604
"al",2016 Oct,158862.16119403,6140,28921,2346
"ar",2016 Oct,122947.506666667,3688,16703,3189
"az",2016 Oct,245405.4,13512,30509,7373
"ca",2016 Oct,487724.051724138,39164,79985,35824
"co",2016 Oct,352137.40625,9700.07272727273,22948.3818181818,5913
"ct",2016 Oct,326037.5,4596,22210,4261
"dc",2016 Oct,569000,928,1416,476
"de",2016 Oct,268166.666666667,1536,6911,1614
"fl",2016 Oct,247519.388059701,39752,136174,50816
"ga",2016 Oct,174978.20754717,15388,56445,14116
"hi",2016 Oct,668725,1696,5897,1681
"ia",2016 Oct,128703.727272727,3808,13700,3816
"id",2016 Oct,221817.409090909,2880,11095,740
"il",2016 Oct,124681.881188119,14916,59431,22637
"in",2016 Oct,131483.945652174,8416,27176,6221
"ks",2016 Oct,113707.19047619,3403.33333333333,10511.7916666667,2129
"ky",2016 Oct,144672.933333333,4848,16907,7025
"la",2016 Oct,179342.03125,5056,16879,2521
"ma",2016 Oct,627071.428571429,8172,21167,2977
"md",2016 Oct,290986.791666667,8740,26258,4850
"me",2016 Oct,217893.75,2036,12680,1130
"mi",2016 Oct,161883.734939759,12044,45233,2037
"mn",2016 Oct,175712.310344828,8032,23437,10548
"mo",2016 Oct,127166,8324,28730,7702
"ms",2016 Oct,141944.670731707,2700,12669,1919
"mt",2016 Oct,264883.018867925,1444,7644,1764
"nc",2016 Oct,225836.35,13472,58402,14004
"nd",2016 Oct,142406.106666667,785.333333333333,3462.33333333333,942
"ne",2016 Oct,148131.218487395,2033.54285714286,5178,3755
"nh",2016 Oct,259440,1896,8663,2729
"nj",2016 Oct,308008.428571429,12296,51213,5892
"nm",2016 Oct,195232.75,2492,11503,1231
"nv",2016 Oct,246583.75,4812,12625,7807
"ny",2016 Oct,247499.161290323,15384,70701,14373
"oh",2016 Oct,139677.488636364,13788,43116,14212
"ok",2016 Oct,129129.078947368,4964,18422,3226
"or",2016 Oct,300733.333333333,5892,16636,1663
"pa",2016 Oct,157405.597014925,15484,59346,16774
"ri",2016 Oct,381520,1288,4308,957
"sc",2016 Oct,195811.02173913,7304,31654,7888
"sd",2016 Oct,179616.345454545,824,3608,1220
"tn",2016 Oct,182041.842105263,9756,36130,6223
"tx",2016 Oct,187573.072244624,30818.6666666667,94036,35588.375
"ut",2016 Oct,292641.344827586,4792,12190,7036
"va",2016 Oct,243760.2109375,10992,42624,5708
"vt",2016 Oct,244528.571428571,836,7343,815
"wa",2016 Oct,295500.128205128,9760,19899,2394
