"state","month_date","median_listing_price","new_listing_count","active_listing_count","pending_listing_count"
"vt",2018 Feb,260364.142857143,830,4827,634
"wa",2018 Feb,331649.974358974,9876,10608,6583
"wi",2018 Feb,192992.388888889,5662,19500,2215
"wv",2018 Feb,137861.272727273,1660,7401,1235
"wy",2018 Feb,293917.391304348,842,3407,714
"ak",2018 Mar,249435.65585061,1141.71785714286,2945.23035714286,696
"al",2018 Mar,163185.850746269,7820,22779,2703
"ar",2018 Mar,130043.746666667,4288,13884,3289
"az",2018 Mar,264383.333333333,14548,25102,8526
"ca",2018 Mar,536114.448275862,42280,57786,29657
"co",2018 Mar,404245.46875,11744,15258,5219.8
"ct",2018 Mar,351171.875,5900,15051,3645
"dc",2018 Mar,615000,1064,1159,364
"de",2018 Mar,281581,1864,4860,189
"fl",2018 Mar,265959.059701493,50412,138576,56926
"ga",2018 Mar,190964.905660377,19384,41973,16714
"hi",2018 Mar,745500,1820,5392,757
"ia",2018 Mar,140356.818181818,4392,10519,4064
"id",2018 Mar,258394.318181818,3420,6384,548
"il",2018 Mar,128678.215686275,21608,45164,23986
"in",2018 Mar,149356.597826087,8992,16250,6165
"ks",2018 Mar,113631.291156463,4399.84,8840.85714285714,2040
"ky",2018 Mar,157710.491666667,5456,12626,6459
"la",2018 Mar,191039.71875,5996,18157,3597
"ma",2018 Mar,668064.285714286,8164,12170,2692
"md",2018 Mar,313498.5,10656,18551,4408
"me",2018 Mar,232025,2056,7578,885
"mi",2018 Mar,173889.493975904,14092,28833,2360
"mn",2018 Mar,200262.333333333,9440,13659,9699
"mo",2018 Mar,140968.539130435,10084,21508,8818
"ms",2018 Mar,144073.268292683,3276,11245,2167
"mt",2018 Mar,250694.451530612,1689.71428571429,5642,1818
"nc",2018 Mar,242159.13,17700,43220,15854
"nd",2018 Mar,154674.706043956,888.857142857143,3112,804
"ne",2018 Mar,158429.293141537,2442,4008.03418803419,3764.33333333333
"nh",2018 Mar,285255,2120,4416,2146
"nj",2018 Mar,334550,15532,38871,1201
"nm",2018 Mar,214682.575757576,2920,8606,820
"nv",2018 Mar,324347.058823529,5076,6339,6552
"ny",2018 Mar,265571.338709677,17608,52685,12032
"oh",2018 Mar,154952.977272727,14984,26561,17315
"ok",2018 Mar,137736.210526316,5712,16404.75,786
"or",2018 Mar,331347.916666667,7268,11227,2034
"pa",2018 Mar,167612.089552239,16224,39578,7863
"ri",2018 Mar,455100,1264,2532,2068
"sc",2018 Mar,213301.195652174,10600,26842,10200
"sd",2018 Mar,189965.09980645,1014.66666666667,3182.12612612613,1211
"tn",2018 Mar,209718.031578947,11408,23846,8927
"tx",2018 Mar,202339.064814815,38274.9333333333,84336,38497.4
"ut",2018 Mar,338758.068965517,5292,8443,7149
"va",2018 Mar,266732.820999006,15184.8,31301.6,10010
"vt",2018 Mar,259210.714285714,892,4823,760
"wa",2018 Mar,343807.205128205,11912,10907,7598
"wi",2018 Mar,199179.25,7884,20494,2919
"wv",2018 Mar,142052.545454545,1816,7272,1574
"wy",2018 Mar,290695.652173913,1092,3454,766
"ak",2018 Apr,243987.876194801,1254.52857142857,3093.7119047619,696
"al",2018 Apr,168025.134328358,8384,23105,2928
"ar",2018 Apr,130758.933333333,4750,14126,3623
"az",2018 Apr,269718.066666667,15082,24926,9324
"ca",2018 Apr,543513.086206897,48166,62704,31062
"co",2018 Apr,404253.75,12750,16460,12929.5
"ct",2018 Apr,356465,7150,16145,4430
"dc",2018 Apr,627000,1222,1335,426
"de",2018 Apr,287479.333333333,1974,5080,206
"fl",2018 Apr,268626.820895522,48412,137431,60024
"ga",2018 Apr,196318.238993711,20942,43185,23494
"hi",2018 Apr,757506.25,2116,5366,738
"ia",2018 Apr,144263.646464646,4846,10754,4987
"id",2018 Apr,264210.818181818,4266,6648,558
"il",2018 Apr,131938.980392157,23012,47200,28265
"in",2018 Apr,154763.684782609,9900,16599,3706
"ks",2018 Apr,116057.066666667,4824.4,9185.33333333333,2284
"ky",2018 Apr,159660.458333333,5880,12996,7081
"la",2018 Apr,190442.625,5956,18621,4096
"ma",2018 Apr,669193.285714286,11156,13628,3274
"md",2018 Apr,316436.875,12068,20072,5024
"me",2018 Apr,237409.375,2670,7794,1031
"mi",2018 Apr,180873.228915663,16398,29748,2876
"mn",2018 Apr,203392.390804598,10926,14540,11942
"mo",2018 Apr,142404.626086957,10920,21958,10364
"ms",2018 Apr,146259.768292683,3404,11626,2378
"mt",2018 Apr,253881.428571429,1980,5889,2106
"nc",2018 Apr,246951.53,18962,44513,17715
"nd",2018 Apr,157293.75,1121,3203,831
"ne",2018 Apr,160314.526041423,2904,4236.66666666667,4470.30729166667
"nh",2018 Apr,286183.1,3036,4835,2306
"nj",2018 Apr,342310,18160,40816,1349
"nm",2018 Apr,213237.696969697,3360,8774,921
"nv",2018 Apr,323495.823529412,5366,6599,6846
"ny",2018 Apr,270152.903225806,21648,54747,13385
"oh",2018 Apr,161138.590909091,16834,26849,19521
"ok",2018 Apr,139614.184210526,6708,16725,3571
"or",2018 Apr,338342.305555556,8230,12214,2246
"pa",2018 Apr,171122.313432836,20062,40786,9216
"ri",2018 Apr,459115,1704,2732,2349
"sc",2018 Apr,216217.652173913,10414,27309,11128
"sd",2018 Apr,186625.591066211,1143,3368.98648648649,1302.5
"tn",2018 Apr,215188.684210526,12652,23741,10675
"tx",2018 Apr,200496.241699867,43200.4666666667,88460,43629.7
"ut",2018 Apr,341699.206896552,6152,8798,7698
"va",2018 Apr,269892.679280726,17064.4,33464.4666666667,11467
"vt",2018 Apr,264498.214285714,1070,4804,854
"wa",2018 Apr,350414.128205128,14308,12192,8825
"wi",2018 Apr,206693.444444444,8492,20292,6114
"wv",2018 Apr,143653.072727273,2072,7466,1845
"wy",2018 Apr,295542.391304348,1110,3598,870
"ak",2018 May,249756.268952785,1457.33928571429,3363.19345238095,696
"al",2018 May,171011.074626866,8066,23428,3045
"ar",2018 May,132919.76,4674,14427,3895
"az",2018 May,271669.666666667,14482,24351,9370
"ca",2018 May,549547.913793103,49252,68108,32709
"co",2018 May,397026.265625,13298,17828,13938.2
"ct",2018 May,358837,7156,17519,4994
"dc",2018 May,649900,1174,1403,431
"de",2018 May,293266.666666667,2142,5186,219
"fl",2018 May,269822.880597015,46984,135888,60422
"ga",2018 May,198974.496855346,19910,44159,24542
"hi",2018 May,758550,1914,5285,1131
"ia",2018 May,145779.777777778,5128,11147,5208
"id",2018 May,270870.75,4658,7219,619
"il",2018 May,133160.18627451,23584,49955,29754
"in",2018 May,158985.260869565,11324,17570,4092
"ks",2018 May,117808.178231293,4910.38857142857,9673.66666666667,2442
"ky",2018 May,162485.358333333,6346,13696,7272
"la",2018 May,190356.625,6086,18991,4146
"ma",2018 May,688408.928571429,11832,15363,3550
"md",2018 May,322824.875,11840,21286,5140
"me",2018 May,239562.5,3658,8541,1130
"mi",2018 May,185818.253012048,20090,32541,4350
"mn",2018 May,205490.781609195,13056,16281,13533
"mo",2018 May,145088.573913043,11236,22844,10941
"ms",2018 May,147454.609756098,3424,11107,2909
"mt",2018 May,262250.678571429,2558,6430,2302
"nc",2018 May,250453.54,19854,46156,18531
"nd",2018 May,159736.697802198,1319.14285714286,3497,869
"ne",2018 May,159214.786554721,2818.4,4500.72222222222,4641.88125
"nh",2018 May,288427.5,3494,5542,2573
"nj",2018 May,350853.571428571,18474,43288,822
"nm",2018 May,210152.272727273,3640,9142,2903
"nv",2018 May,317443.823529412,5690,6919,7040
"ny",2018 May,276311.919354839,23564,59455,14074
"oh",2018 May,165527.306818182,18424,28066,21088
"ok",2018 May,139204.302631579,6792,17141,869
"or",2018 May,344874.888888889,8864,13442,2411
"pa",2018 May,175547.791044776,20792,42753,9956
"ri",2018 May,461765,1940,3065,2547
"sc",2018 May,215101.304347826,10560,27579,11614
"sd",2018 May,184922.098719414,1418,3625.51351351351,1315
"tn",2018 May,220195.694736842,12958,24679,11152
"tx",2018 May,201863.285524568,43771.3333333333,92924.3333333333,46002
"ut",2018 May,341374.75862069,6380,9423,8168
"va",2018 May,268170.014485523,17216,36554.3333333333,12296
"vt",2018 May,266321.428571429,1580,4990,930
"wa",2018 May,361004.974358974,17004,14079,11050
"wi",2018 May,211486.166666667,10040,21686,6614
"wv",2018 May,145505.763636364,2228,7766,1914
"wy",2018 May,302995.217391304,1244,3742,942
"ak",2018 Jun,256523.351365942,1452.15,3772.675,696
"al",2018 Jun,171966.104477612,7736,23537,2832
"ar",2018 Jun,133511.693333333,4484,14872,3632
"az",2018 Jun,275032.466666667,13428,24048,8645
"ca",2018 Jun,551470.224137931,47700,73762,32183
"co",2018 Jun,399533.15625,13564,20367,13569.9
"ct",2018 Jun,359081,6532,18597,4906
"dc",2018 Jun,649000,1100,1505,422
"de",2018 Jun,291600,1964,5321,221
"fl",2018 Jun,271414.731343284,43212,134333,56725
"ga",2018 Jun,199620.081761006,19188,45415,23516
"hi",2018 Jun,777500,1936,5429,1043
"ia",2018 Jun,146880.616161616,4912,11652,4846
"id",2018 Jun,267667.431818182,4548,8041,593
"il",2018 Jun,132597.37254902,21868,53352,27758
"in",2018 Jun,159927.217391304,10624,18900,4206
"ks",2018 Jun,117079.470748299,4724.37714285714,10173,2161
"ky",2018 Jun,161773.608333333,6048,14410,7206
"la",2018 Jun,190578.96875,5684,19550,4021
"ma",2018 Jun,697235.714285714,11724,17354,3489
"md",2018 Jun,325456.25,10888,22095,4808
"me",2018 Jun,242288.1875,3492,9558,1326
"mi",2018 Jun,188270.409638554,19816,36558,4502
"mn",2018 Jun,206607.770114943,12728,18301,13650
"mo",2018 Jun,146715.739130435,11072,24084,10740
"ms",2018 Jun,146367.682926829,3344,11269,2767
"mt",2018 Jun,263072.303571429,2568,7249,2296
"nc",2018 Jun,250533.13,17676,46882,17941
"nd",2018 Jun,160532.664835165,1161.28571428571,3751,908
"ne",2018 Jun,163024.772342744,2758.13333333333,4941.44444444444,1904.121875
"nh",2018 Jun,288594.9,3216,6264,2729
"nj",2018 Jun,354604.761904762,16932,44941,680
"nm",2018 Jun,208792.424242424,3248,9563,2748
"nv",2018 Jun,321561.411764706,5680,7391,6951
"ny",2018 Jun,278773.951612903,22144,63785,14622
"oh",2018 Jun,167796.215909091,17704,30226,20928
"ok",2018 Jun,139734.723684211,6608,17810,3469
"or",2018 Jun,343947.888888889,8748,15003,2524
"pa",2018 Jun,176613.328358209,19204,44836,9591
"ri",2018 Jun,451780,1908,3574,2573
"sc",2018 Jun,215629.97826087,9824,27905,11206
"sd",2018 Jun,176447.917848027,1268,3723.54054054054,1256
"tn",2018 Jun,219914.242105263,12468,26175,10929
"tx",2018 Jun,205509.029216467,42826.6666666667,98246.6666666667,44493.5
"ut",2018 Jun,344677.620689655,6256,10303,8130
"va",2018 Jun,269201.334305704,15005.6,37925.2,11617
"vt",2018 Jun,271032.142857143,1408,5460,983
"wa",2018 Jun,363146.435897436,16236,16049,11462
"wi",2018 Jun,212499.513888889,9416,23265,6612
"wv",2018 Jun,148743.927272727,2124,8094,1838
"wy",2018 Jun,310391.304347826,1156,3924,859
"ak",2018 Jul,251434.192399788,1384.96071428571,4059.82321428571,696
"al",2018 Jul,172323.059701493,7420,23761,2713
"ar",2018 Jul,135711.12,4640,15253,3415
"az",2018 Jul,273909.533333333,11962,23673,7874
"ca",2018 Jul,542424.137931034,46868,78787,30253
"co",2018 Jul,403636.015625,12308,22069,12954.6
"ct",2018 Jul,354699.625,5302,19121,4505
"dc",2018 Jul,644000,1010,1513,379
"de",2018 Jul,291941.666666667,1724,5317,241
"fl",2018 Jul,271016.358208955,44440,134209,52945
"ga",2018 Jul,199289.855345912,17660,47353,22299
"hi",2018 Jul,775150,2068,5603,999
"ia",2018 Jul,146643.111111111,4628,12247,4653
"id",2018 Jul,266087.863636364,4182,8473,644
"il",2018 Jul,132051.254901961,20648,55901,25661
"in",2018 Jul,159651.304347826,10482,20200,4161
"ks",2018 Jul,121649.023582766,4225.03238095238,10418,2199
"ky",2018 Jul,162397.691666667,5846,15044,7220
"la",2018 Jul,188309.671875,5500,19847,4043
"ma",2018 Jul,689889.285714286,9350,17649,3134
"md",2018 Jul,322684.625,10378,22625,3925
"me",2018 Jul,239878.9375,3156,10197,1434
"mi",2018 Jul,187527.301204819,19742,39559,4584
"mn",2018 Jul,205108.574712644,11474,19478,12808
"mo",2018 Jul,148481.539130435,10528,25014,10220
"ms",2018 Jul,146254.5,3060,11408,2916
"mt",2018 Jul,265500.150510204,2096.14285714286,7816,2272
"nc",2018 Jul,247034.56,17146,48636,17086
"nd",2018 Jul,162965.112637363,1049.42857142857,3835,860
"ne",2018 Jul,165476.434398948,2784.53333333333,5286.91666666667,1909.3625
"nh",2018 Jul,288815,2754,6635,2605
"nj",2018 Jul,355480.952380952,15186,45293,670
"nm",2018 Jul,221865.242424242,3038,9865,2768
"nv",2018 Jul,318441.176470588,5824,8056,1804
"ny",2018 Jul,279495.564516129,19968,65491,14324
"oh",2018 Jul,168148.579545455,17566,32344,20140
"ok",2018 Jul,138154.776315789,6168,18375,3488
"or",2018 Jul,336291.194444444,8548,16291,2437
"pa",2018 Jul,177207.567164179,17816,45768,9296
"ri",2018 Jul,446595,1666,3834,2438
"sc",2018 Jul,213545.652173913,9226,28039,10895
"sd",2018 Jul,178119.112186694,1240,3860.06756756757,1323
"tn",2018 Jul,218799.263157895,12324,27581,10574
"tx",2018 Jul,205740.549231645,40756.5714285714,103055,42081.2857142857
"ut",2018 Jul,348011.965517241,5766,10787,7850
"va",2018 Jul,265487.992587424,13697.2,38649.0666666667,10448
"vt",2018 Jul,273852.214285714,1236,5685,967
"wa",2018 Jul,359694.974358974,15664,18676,10714
"wi",2018 Jul,212168.472222222,8908,24134,6403
"wv",2018 Jul,150236.509090909,2028,8324,1805
"wy",2018 Jul,325366.869565217,1100,4011,817
"ak",2018 Aug,254920.8955026,1217.77142857143,4164.97142857143,696
"al",2018 Aug,170870.014925373,7172,23791,2618
"ar",2018 Aug,136277.973333333,4098,15313,3260
"az",2018 Aug,275732.533333333,12896,24002,7582
"ca",2018 Aug,528153.534482759,44146,82117,36832
"co",2018 Aug,398673.09375,11314,22902,12250.3
"ct",2018 Aug,351450,4874,19001,4353
"dc",2018 Aug,624500,762,1413,357
"de",2018 Aug,290986.333333333,1702,5274,229
"fl",2018 Aug,270422.462686567,42894,133729,50532
"ga",2018 Aug,200246.213836478,17258,47845,20443
"hi",2018 Aug,761862.5,1850,5643,974
"ia",2018 Aug,145977.585858586,4654,12829,4205
"id",2018 Aug,267411.954545455,4064,8622,726
"il",2018 Aug,130316.166666667,18994,57117,23387
"in",2018 Aug,158379.369565217,10000,20924,4087
"ks",2018 Aug,119269.824036281,4129.28761904762,10582,2088
"ky",2018 Aug,162236.45,5808,15512,6936
"la",2018 Aug,187532.046875,5248,19987,3869
"ma",2018 Aug,687103.571428571,8940,18021,2979
"md",2018 Aug,320456.708333333,9870,22812,3693
"me",2018 Aug,237927.75,3020,10566,1472
"mi",2018 Aug,184481,19440,42211,4500
"mn",2018 Aug,202825.666666667,10758,20182,12157
"mo",2018 Aug,146592.269565217,10144,25859,8017
"ms",2018 Aug,148428.329268293,3060,11340,2690
"mt",2018 Aug,278278.658163265,2038.28571428571,8002,2285
"nc",2018 Aug,243109.61,16670,49216,16593
"nd",2018 Aug,164497.07967033,1057.57142857143,3895,868
"ne",2018 Aug,161055.891326947,2510.93333333333,5496.88888888889,1980.603125
"nh",2018 Aug,289085.6,2708,6776,2523
"nj",2018 Aug,352346.428571429,14528,45183,605
"nm",2018 Aug,209708.575757576,3088,9967,2661
"nv",2018 Aug,321325.019607843,6498.66666666667,9110,1741
"ny",2018 Aug,275915.548387097,18072,65504,13948
"oh",2018 Aug,165310.204545455,16652,34039,19183
"ok",2018 Aug,140523.789473684,5818,18563,3366
"or",2018 Aug,331631.888888889,8072,17105,2371
"pa",2018 Aug,175856.134328358,16638,46363,9006
"ri",2018 Aug,443840,1610,3991,2369
"sc",2018 Aug,213737.391304348,9432,27935,10411
"sd",2018 Aug,181389.877047836,1178.18181818182,3912.59459459459,1303
"tn",2018 Aug,215854.578947368,12134,28150,10482
"tx",2018 Aug,202642.656232214,37441.1428571429,104563.5,39568.5714285714
"ut",2018 Aug,346676.896551724,6156,11443,7585
"va",2018 Aug,262908.766253759,13130.8,38848.9333333333,9513
"vt",2018 Aug,276901.785714286,1166,5798,975
"wa",2018 Aug,355969.58974359,14804,20322,10016
"wi",2018 Aug,210262.472222222,8480,24830,6126
"wv",2018 Aug,151038.781818182,1976,8443,1835
"wy",2018 Aug,324584.043478261,1084,4072,807
"ak",2018 Sep,248042.943432997,952.457142857143,3962.05714285714,696
"al",2018 Sep,172485.537313433,6500,23535,2406
"ar",2018 Sep,136864.44,3932,15289,3041
"az",2018 Sep,277904,12960,24292,7558
"ca",2018 Sep,528454.948275862,44744,85824,35090
"co",2018 Sep,394350.296875,10616,23304,11450
"ct",2018 Sep,347693.75,5188,19168,4045
"dc",2018 Sep,630000,1300,1610,341
"de",2018 Sep,290600,1576,5256,232
"fl",2018 Sep,268049.597014925,41916,135149,47710
"ga",2018 Sep,200088.433962264,16044,48036,19767
"hi",2018 Sep,749112.5,1768,5622,907
"ia",2018 Sep,143155.767676768,4304,13232,4432
"id",2018 Sep,270628.272727273,3680,8632,731
"il",2018 Sep,128958.5,17484,57508,21459
"in",2018 Sep,158029.097826087,9080,21433,3885
"ks",2018 Sep,117243.262585034,3771.54285714286,10671,1915
"ky",2018 Sep,161290.091666667,5124,15648,6327
"la",2018 Sep,189556.59375,4800,19874,3678
"ma",2018 Sep,674314.285714286,9588,19639,2716
"md",2018 Sep,317936.208333333,9464,23449,3395
"me",2018 Sep,235075,2520,10617,1449
"mi",2018 Sep,181793.506024096,15872,42979,5837
"mn",2018 Sep,199783.091954023,9368,20561,10911
"mo",2018 Sep,146772.904347826,9188,25982,7488
"ms",2018 Sep,146906.524390244,2712,11347,2474
"mt",2018 Sep,278338.772959184,1680.42857142857,8071,2195
"nc",2018 Sep,241995.21,13528,49523,15635
"nd",2018 Sep,161429.258241758,905.714285714286,4005,911
"ne",2018 Sep,165155.590013187,2369.33333333333,5623.86111111111,1888.84375
"nh",2018 Sep,289380,2408,6904,2269
"nj",2018 Sep,353604.285714286,15516,45143,571
"nm",2018 Sep,216451.515151515,2588,9752,2803
"nv",2018 Sep,326263.803921569,6341.33333333333,10201,2625
"ny",2018 Sep,275769.177419355,18600,65941,13546
"oh",2018 Sep,164715.965909091,14452,34564,17788
"ok",2018 Sep,137367.355263158,5112,18248,3109
"or",2018 Sep,331897.222222222,7632,17264,2262
"pa",2018 Sep,173165.134328358,16092,46763,8297
"ri",2018 Sep,442180,1580,4098,2344
"sc",2018 Sep,212993.02173913,8340,28099,10102
"sd",2018 Sep,180050.029005753,1004.36363636364,3890.62162162162,1250
"tn",2018 Sep,216021.105263158,11288,29008,10040
"tx",2018 Sep,204541.400682982,32980.7142857143,103522.5,36757.8571428571
"ut",2018 Sep,347151.827586207,5576,11829,7238
"va",2018 Sep,262814.459462689,12028.4,38693.8,8846
"vt",2018 Sep,275785.714285714,1024,5736,999
"wa",2018 Sep,356343.871794872,13600,21657,9064
"wi",2018 Sep,209462.375,7236,24569,5455
"wv",2018 Sep,149930.254545455,1860,8487,1732
"wy",2018 Sep,309880.782608696,896,4013,787
"ak",2018 Oct,261481.301708223,849.142857142857,3651.14285714286,696
"al",2018 Oct,171103.074626866,6124,23320,2341
"ar",2018 Oct,136922.333333333,3616,15437,2787
"az",2018 Oct,274853.6,12914,25950,7108
"ca",2018 Oct,523822.931034483,40230,87157,33616
"co",2018 Oct,392483.953125,9110,23025,10832
"ct",2018 Oct,347500,4534,18825,4056
"dc",2018 Oct,638000,1068,1832,382
"de",2018 Oct,291124.333333333,1640,5297,204
"fl",2018 Oct,267955.656716418,44288,139539,45388
"ga",2018 Oct,196829.163522013,16072.4,50775,18463.4
"hi",2018 Oct,727093.75,1910,5683,874
"ia",2018 Oct,148346.191919192,3758,13233,4239
"id",2018 Oct,273384.5,3210,8461,682
"il",2018 Oct,129195.421568627,15264,56934,19751
"in",2018 Oct,156127.75,8770,21828,3697
"ks",2018 Oct,115375.053514739,3791.7980952381,10747,1930
"ky",2018 Oct,161155.383333333,5002,15797,5774
"la",2018 Oct,188693.65625,4752,19892,3497
"ma",2018 Oct,665131.928571429,8530,20092,2715
"md",2018 Oct,318395.375,9308,23685,3247
"me",2018 Oct,234231.25,2080,10270,1321
"mi",2018 Oct,180789.891566265,14478,41954,5288
"mn",2018 Oct,199830,7568,20136,9753
"mo",2018 Oct,148058.034782609,8646,26003,6996
"ms",2018 Oct,145740.5,2592,11271,2377
"mt",2018 Oct,247122.619897959,1386.57142857143,7749,1993
"nc",2018 Oct,240890.35,13790,48530,13992
"nd",2018 Oct,159954.936813187,815.857142857143,3943,889
"ne",2018 Oct,167822.511860881,2197.33333333333,5778.37179487179,1978.36899038462
"nh",2018 Oct,290222.5,1790,6698,2170
"nj",2018 Oct,354027.904761905,13630,44842,606
"nm",2018 Oct,215853.484848485,2402,9509,2668
"nv",2018 Oct,329767.235294118,5412,11273,2596
"ny",2018 Oct,273344.85483871,16772,66041,12952
"oh",2018 Oct,162527.875,13952,34792,16360
"ok",2018 Oct,139483.013157895,4950,17885,3135
"or",2018 Oct,329494.472222222,6104,16809,1969
"pa",2018 Oct,172944.895522388,15472,46989,7865
"ri",2018 Oct,424105,1398,4182,2196
"sc",2018 Oct,211553.347826087,8552,28363,9092
"sd",2018 Oct,182338.342253993,902.545454545455,3797.64864864865,1248
"tn",2018 Oct,215932.694736842,10288,29346,9440
"tx",2018 Oct,195910.073420603,31593.2857142857,103384,34323.6428571429
"ut",2018 Oct,339970.551724138,5250,12322,6793
"va",2018 Oct,261348.083011157,11165.6666666667,38231.8333333333,8697
"vt",2018 Oct,275385.714285714,800,5635,934
"wa",2018 Oct,356393.538461538,11532,21489,8297
"wi",2018 Oct,208868.902777778,6306,23837,4916
"wv",2018 Oct,148275.090909091,1656,8357,1661
"wy",2018 Oct,306891.304347826,800,3880,779
"ak",2018 Nov,266107.799432592,598.495238095238,3328.22857142857,695.566037735849
"al",2018 Nov,171142.149253731,5336,22718,2224
"ar",2018 Nov,134286.32,3134,15188,2723
"az",2018 Nov,278003.933333333,12222,26751,11425
"ca",2018 Nov,517304.862068966,36450,85622,31231
"co",2018 Nov,405546.90625,7604,21786,9977
"ct",2018 Nov,343840.625,3594,17806,3776
"dc",2018 Nov,625000,852,1836,336
"de",2018 Nov,291125,1338,5229,199
"fl",2018 Nov,267708.985074627,43592,145090,43634
"ga",2018 Nov,197163.842767296,13514.8,50242,18180.8
"hi",2018 Nov,725439.25,1878,5881,875
"ia",2018 Nov,145528.151515152,3134,12943,3847
"id",2018 Nov,278375.772727273,2478,7885,606
"il",2018 Nov,128585.166666667,12146,53797,17901
"in",2018 Nov,154286.369565217,6774,21085,3408
"ks",2018 Nov,113767.082539683,3182.05333333333,10566,1898
"ky",2018 Nov,159127.633333333,3986,15562,5302
"la",2018 Nov,188600.703125,4100,19764,3399
"ma",2018 Nov,654905.357142857,6540,18979,2310
"md",2018 Nov,318736.375,7660,22989,3132
"me",2018 Nov,233650,1556,9511,1191
"mi",2018 Nov,179954.530120482,12062,39854,4692
"mn",2018 Nov,197792.91954023,5552,18376,8304
"mo",2018 Nov,147790.956521739,6806,25238,6193
"ms",2018 Nov,146682.865853659,2158,10986,2260
"mt",2018 Nov,278331.25255102,1096.71428571429,6977,1832
"nc",2018 Nov,238334,12406,47017,13521
"nd",2018 Nov,157587.057692308,574,3795,794
"ne",2018 Nov,163469.944697586,1827.33333333333,5725.63247863248,1787.89423076923
"nh",2018 Nov,288010.4,1442,6067,1915
"nj",2018 Nov,349253.571428571,11370,42983,550
"nm",2018 Nov,215209.060606061,1946,9016,2562
"nv",2018 Nov,327258.117647059,5128,11688,2377
"ny",2018 Nov,270974.983870968,13722,63330,12549
"oh",2018 Nov,161775.477272727,11454,33604,15037
"ok",2018 Nov,140159.065789474,4424,17360,2951
"or",2018 Nov,334171.25,4992,15643,1828
"pa",2018 Nov,170723.940298507,12344,45288,7521
"ri",2018 Nov,426945,1012,4019,1985
"sc",2018 Nov,214207.065217391,7428,28102,8978
"sd",2018 Nov,180679.458469248,684.727272727273,3575.67567567568,1224
"tn",2018 Nov,214300.789473684,9054,28988,8862
"tx",2018 Nov,194043.715613736,29600.8571428571,101311,33262.3869047619
"ut",2018 Nov,339623.206896552,4356,12032,6455
"va",2018 Nov,261485.813429853,9156.93333333333,36210.8666666667,8627
"vt",2018 Nov,273487.5,624,5279,748
"wa",2018 Nov,354377.846153846,9736,19398,7652
"wi",2018 Nov,206282.916666667,4806,22037,4305
"wv",2018 Nov,148543.109090909,1402,8140,1537
"wy",2018 Nov,307951.913043478,730,3664,694
"ak",2018 Dec,263936.469570754,475.847619047619,3006.31428571429,695.132075471698
"al",2018 Dec,169973.791044776,4544,21746,1911
"ar",2018 Dec,137020.653333333,2628,14552,2299
"az",2018 Dec,275850,9276,26137,10333
"ca",2018 Dec,512319.879310345,24224,75711,27702
"co",2018 Dec,406248.71875,5596,19129,8780
"ct",2018 Dec,338993.75,2792,15976,3181
"dc",2018 Dec,599900,584,1493,325
"de",2018 Dec,286813.333333333,1036,4938,177
"fl",2018 Dec,271815.52238806,37244,147715,40240
"ga",2018 Dec,195121.899371069,10949.2,48659,15949.2
"hi",2018 Dec,748225,1692,5951,896
"ia",2018 Dec,142554.101010101,2204,12065,3180
"id",2018 Dec,276994.431818182,1872,7041,583
"il",2018 Dec,125230.882352941,8944,48135,15223
"in",2018 Dec,153251.336956522,5036,19372,2987
"ks",2018 Dec,112788.692517007,2220.30857142857,9847,1749
"ky",2018 Dec,158368.558333333,3088,14597,4621
"la",2018 Dec,186250.125,3600,19365,3076
"ma",2018 Dec,654296.428571429,3656,15882,1791
"md",2018 Dec,317404,5760,20549,2779
"me",2018 Dec,232072.5,1220,8598,758
"mi",2018 Dec,177773.638554217,8748,36125,3911
"mn",2018 Dec,198143.735632184,3876,15543,6785
"mo",2018 Dec,146702.156521739,5232,23326,5266
"ms",2018 Dec,147235.963414634,1872,10523,2038
"mt",2018 Dec,267514.795918367,864.857142857143,6478,1476
"nc",2018 Dec,237364.08,9328,44546,11827
"nd",2018 Dec,155264.350961538,400.5,3481.125,857
"ne",2018 Dec,167625.851691527,1199.33333333333,5174.89316239316,1671.91947115385
"nh",2018 Dec,289370.6,928,5182,1424
"nj",2018 Dec,340628.571428571,8904,39462,484
"nm",2018 Dec,218778.757575758,1740,8444,2247
"nv",2018 Dec,310705.882352941,3712,11349,2268
"ny",2018 Dec,267320.209677419,9920,57442,11850
"oh",2018 Dec,159031.943181818,8012,30433,12498
"ok",2018 Dec,140479.210526316,3712,16531,2611
"or",2018 Dec,337863.888888889,3600,13871,1539
"pa",2018 Dec,168385.805970149,9428,41826,6495
"ri",2018 Dec,427160,788,3637,1647
"sc",2018 Dec,212905.847826087,6044,27101,8031
"sd",2018 Dec,180925.040434567,472.909090909091,3236.7027027027,1144
"tn",2018 Dec,213214.589473684,7684,27290,7918
"tx",2018 Dec,192877.710462624,24374.0952380952,96162.2222222222,30369.630952381
"ut",2018 Dec,340143.034482759,3344,11216,5672
"va",2018 Dec,260331.788123359,6920.2,32408.9,7384
"vt",2018 Dec,273039.285714286,428,4874,605
"wa",2018 Dec,354141.897435897,6412,16736,5960
"wi",2018 Dec,206255.458333333,3292,19381,3464
"wv",2018 Dec,145981.963636364,1028,7661,1312
"wy",2018 Dec,304241.304347826,508,3433,663
"ak",2019 Jan,263713.932812364,759.2,2662.4,694.698113207547
"al",2019 Jan,171027.955223881,6166,20706,1956
